unom,Наименование,Количество обращений
538,Температура в квартире ниже нормативной,50
538,Отсутствуют актуальные мгновенные значения,15
539,Температура в квартире ниже нормативной,54
539,T1 > max,25
540,Протечка с кровли,14
540,Температура в квартире ниже нормативной,14
541,Аварийная протечка с кровли,34
541,Протечка с кровли,19
542,Отсутствуют актуальные мгновенные значения,35
542,Отсутствует циркуляция ГВС,19
543,Аварийная протечка с кровли,37
543,Температура в квартире ниже нормативной,20
544,Температура в квартире ниже нормативной,31
544,T1 > max,19
545,Аварийная протечка с кровли,12
545,Протечка с кровли,6
546,Аварийная протечка с кровли,65
546,Протечка с кровли,31
547,Температура в квартире ниже нормативной,31
547,Недогрев ГВС,10
548,Температура в квартире ниже нормативной,87
548,Отсутствуют актуальные суточные значения,14
549,Отсутствуют актуальные суточные значения,63
549,Температура в квартире ниже нормативной,56
551,Отсутствуют актуальные суточные значения,39
551,Отсутствуют актуальные мгновенные значения,20
552,Отсутствуют актуальные суточные значения,29
552,Низкий уровень сигнала GSM,19
553,Отсутствует циркуляция ГВС,20
553,Отсутствие освещения в местах общего пользования,18
554,Температура в квартире ниже нормативной,17
554,Отсутствуют актуальные мгновенные значения,15
555,Температура в квартире ниже нормативной,23
555,Отсутствуют актуальные мгновенные значения,14
559,Температура в квартире ниже нормативной,33
559,Низкий уровень сигнала GSM,25
560,Температура в квартире ниже нормативной,46
560,T1 > max,42
561,Отсутствует циркуляция ГВС,30
561,Отсутствие ГВС в доме,18
562,Протечка с кровли,31
562,Температура в квартире ниже нормативной,29
563,Низкий уровень сигнала GSM,20
563,Отсутствуют актуальные мгновенные значения,10
763,Температура в квартире ниже нормативной,20
763,Отсутствуют актуальные суточные значения,11
764,Отсутствуют актуальные мгновенные значения,31
764,Низкий уровень сигнала GSM,28
765,Отсутствует циркуляция ГВС,28
765,Низкий уровень сигнала GSM,25
766,Отсутствуют актуальные мгновенные значения,11
766,Аварийная протечка с кровли,8
767,Отсутствует циркуляция ГВС,11
767,Отсутствуют актуальные суточные значения,9
768,Отсутствуют актуальные мгновенные значения,30
768,Низкий уровень сигнала GSM,27
769,Температура в квартире ниже нормативной,15
769,Отсутствуют актуальные мгновенные значения,14
1017,Отсутствуют актуальные суточные значения,16
1017,Повреждение элементов входной двери,15
1049,Низкий уровень сигнала GSM,18
1049,Отсутствуют актуальные мгновенные значения,12
1051,Температура в квартире ниже нормативной,39
1051,Низкий уровень сигнала GSM,21
1202,Недогрев ГВС,27
1202,Отсутствие ГВС в доме,16
1205,Отсутствие ГВС в доме,10
1205,Отсутствие освещения в местах общего пользования,9
1206,Температура в квартире ниже нормативной,59
1206,Отсутствие освещения в местах общего пользования,34
1207,Лифт требует ремонта,65
1207,Засор мусоропровода,33
1208,Низкий уровень сигнала GSM,17
1208,Температура в квартире ниже нормативной,17
1209,Нет связи с ПУ,338
1209,Отсутствуют актуальные суточные значения,12
1210,Загрязнение/замусоренность подъезда,32
1210,Температура в квартире ниже нормативной,19
1211,Температура в квартире ниже нормативной,47
1211,Отсутствие освещения в местах общего пользования,7
1212,Низкий уровень сигнала GSM,18
1212,Аварийная протечка с кровли,17
1213,Температура в квартире ниже нормативной,22
1213,Аварийная протечка с кровли,20
1214,Температура в квартире ниже нормативной,19
1214,Аварийная протечка с кровли,10
1215,Отсутствуют актуальные мгновенные значения,21
1215,Протечка с кровли,16
1222,Отсутствие ГВС в доме,36
1222,Температура в квартире ниже нормативной,36
1223,T1 > max,50
1223,Температура в квартире ниже нормативной,22
1224,Недогрев ГВС,23
1224,Аварийная протечка с кровли,21
1225,Недогрев ГВС,53
1225,Отсутствуют актуальные мгновенные значения,39
1226,Отсутствуют актуальные мгновенные значения,62
1226,Протечка с кровли,25
1229,Отсутствие освещения в местах общего пользования,46
1229,Температура в квартире ниже нормативной,33
1230,Отсутствие освещения в местах общего пользования,24
1230,Температура в квартире ниже нормативной,14
1231,Загрязнение/замусоренность подъезда,55
1231,Температура в квартире ниже нормативной,27
1232,Лифт требует ремонта,44
1232,Температура в квартире ниже нормативной,32
1233,Отсутствие освещения в местах общего пользования,19
1233,Температура в квартире ниже нормативной,14
1234,Отсутствие освещения в местах общего пользования,17
1234,Загрязнение/замусоренность подъезда,13
1235,Отсутствие освещения в местах общего пользования,35
1235,Отсутствуют актуальные мгновенные значения,23
1236,Отсутствуют актуальные суточные значения,83
1236,Температура в квартире ниже нормативной,21
1237,Аварийная протечка с кровли,54
1237,Температура в квартире ниже нормативной,42
1238,Аварийная протечка с кровли,55
1238,Температура в квартире ниже нормативной,30
1239,Засор канализации,31
1239,Загрязнение/замусоренность подъезда,10
1240,Температура в квартире ниже нормативной,22
1240,Отсутствуют актуальные мгновенные значения,16
1241,Температура в квартире ниже нормативной,34
1241,Отсутствие освещения в местах общего пользования,21
1242,Температура в квартире ниже нормативной,41
1242,Отсутствие освещения в местах общего пользования,39
1243,Недогрев ГВС,25
1243,Отсутствуют актуальные мгновенные значения,22
1244,Отсутствие освещения в местах общего пользования,28
1244,Температура в квартире ниже нормативной,25
1245,Температура в квартире ниже нормативной,71
1245,Неисправность запирающего устройства,12
1246,Температура в квартире ниже нормативной,81
1246,Низкий уровень сигнала GSM,37
1247,Температура в квартире ниже нормативной,11
1247,Недогрев ГВС,8
1248,Температура в квартире ниже нормативной,47
1248,Лифт требует ремонта,18
1249,Температура в квартире ниже нормативной,29
1249,Отсутствуют актуальные мгновенные значения,18
1250,Температура в квартире ниже нормативной,79
1250,Аварийная протечка с кровли,18
1251,Аварийная протечка с кровли,39
1251,Протечка с кровли,39
1252,Температура в квартире ниже нормативной,27
1252,Отсутствие ХВС в доме,21
1253,Температура в квартире ниже нормативной,55
1253,Загрязнение/замусоренность подъезда,18
1254,Лифт требует ремонта,8
1254,Температура в квартире ниже нормативной,6
1255,Отсутствуют актуальные суточные значения,53
1255,Температура в квартире ниже нормативной,29
1256,Лифт требует ремонта,48
1256,Загрязнение/замусоренность подъезда,37
1257,Температура в квартире ниже нормативной,151
1257,Повреждение элементов входной двери,49
1258,Температура в квартире ниже нормативной,33
1258,Протечка с кровли,17
1259,Отсутствуют актуальные мгновенные значения,427
1259,Нет связи с УСПД,97
1260,Температура в квартире ниже нормативной,17
1260,Отсутствуют актуальные мгновенные значения,10
1261,Недогрев ГВС,19
1261,Отсутствие освещения в местах общего пользования,12
1262,T1 < min,70
1262,Отсутствуют актуальные мгновенные значения,35
1263,Лифт требует ремонта,137
1263,Застревание в лифте,11
1264,Лифт требует ремонта,99
1264,Отсутствие освещения в местах общего пользования,50
1265,Отсутствие освещения в местах общего пользования,44
1265,Лифт требует ремонта,29
1266,Нет связи с ПУ,298
1266,Температура в квартире ниже нормативной,41
1267,Отсутствуют актуальные мгновенные значения,18
1267,Аварийная протечка с кровли,16
1268,Температура в квартире ниже нормативной,78
1268,Отсутствуют актуальные мгновенные значения,42
1269,Нет связи с ПУ,517
1269,Низкий уровень сигнала GSM,30
1437,Повреждение отделочных покрытий пола/стены/ступеней/перил/других элементов,4
1437,Повреждение элементов входной двери,3
1439,Отсутствие ГВС в доме,54
1439,Отсутствие освещения в местах общего пользования,49
1440,Отсутствие освещения в местах общего пользования,102
1440,Низкий уровень сигнала GSM,47
1441,Отсутствие освещения в местах общего пользования,74
1441,Лифт требует ремонта,13
2223,Отсутствуют актуальные мгновенные значения,18
2223,Температура в квартире ниже нормативной,14
2224,Нет связи с УСПД,146
2224,Температура в квартире ниже нормативной,41
2225,Отсутствует циркуляция ГВС,13
2225,Повреждение системы электропроводки/щитового оборудования,13
2226,Отсутствуют актуальные мгновенные значения,24
2226,Низкий уровень сигнала GSM,21
2256,T1 < min,53
2256,Отсутствуют актуальные мгновенные значения,8
2257,Низкий уровень сигнала GSM,33
2257,Повреждение инженерных сетей,21
2290,Отсутствуют актуальные суточные значения,36
2290,Отсутствуют актуальные мгновенные значения,24
2291,Отсутствие освещения в местах общего пользования,75
2291,Нет связи с ПУ,55
2292,Отсутствие освещения в местах общего пользования,162
2292,Температура в квартире ниже нормативной,39
2299,Отсутствует циркуляция ГВС,24
2299,Отсутствуют актуальные мгновенные значения,24
2300,Отсутствие освещения в местах общего пользования,44
2300,Отсутствует циркуляция ГВС,29
2301,Неочищенная кровля,8
2301,Отсутствуют актуальные мгновенные значения,6
2302,Повреждение отделочных покрытий пола/стены/ступеней/перил/других элементов,8
2302,Неочищенная кровля,4
2304,Температура в квартире ниже нормативной,14
2304,Отсутствуют актуальные мгновенные значения,12
2325,Отсутствие ГВС в доме,17
2325,Загрязнение/замусоренность подъезда,14
2326,Температура в квартире ниже нормативной,17
2326,Датчик вибрации,13
2327,Отсутствуют актуальные суточные значения,30
2327,Отсутствуют актуальные мгновенные значения,11
2328,Низкий уровень сигнала GSM,19
2328,Отсутствуют актуальные мгновенные значения,18
2329,Отсутствуют актуальные мгновенные значения,37
2329,T1 < min,30
2330,Отсутствуют актуальные суточные значения,27
2330,Отсутствуют актуальные мгновенные значения,26
2331,Отсутствует циркуляция ГВС,106
2331,Отсутствуют актуальные мгновенные значения,17
2332,Низкий уровень сигнала GSM,29
2332,Отсутствуют актуальные мгновенные значения,16
2333,Отсутствуют актуальные мгновенные значения,27
2333,Отсутствуют актуальные суточные значения,10
2334,Отсутствуют актуальные суточные значения,19
2334,Отсутствуют актуальные мгновенные значения,18
2335,Температура в квартире ниже нормативной,37
2335,Низкий уровень сигнала GSM,20
2336,Отсутствуют актуальные мгновенные значения,25
2336,Отсутствуют актуальные суточные значения,25
2337,Температура в квартире ниже нормативной,34
2337,Отсутствуют актуальные мгновенные значения,13
2338,Температура в квартире ниже нормативной,36
2338,Отсутствуют актуальные мгновенные значения,16
2339,Открыт шкаф УСПД,53
2339,Отсутствуют актуальные мгновенные значения,14
2340,Отсутствуют актуальные мгновенные значения,22
2340,Нет связи с УСПД,9
2341,Отсутствуют актуальные суточные значения,14
2341,Отсутствуют актуальные мгновенные значения,12
2342,Отсутствуют актуальные мгновенные значения,21
2342,Отсутствуют актуальные суточные значения,12
2343,Отсутствуют актуальные мгновенные значения,26
2343,Температура в квартире ниже нормативной,13
2344,Наличие крыс/мышей/насекомых в местах общего пользования,16
2344,Отсутствуют актуальные мгновенные значения,13
2345,Температура в квартире ниже нормативной,75
2345,Отсутствуют актуальные мгновенные значения,32
2346,Отсутствие освещения в местах общего пользования,23
2346,Низкий уровень сигнала GSM,17
2347,Отсутствие освещения в местах общего пользования,39
2347,Температура в квартире ниже нормативной,23
2348,Температура в квартире ниже нормативной,23
2348,Отсутствие ГВС в доме,21
2349,Отсутствуют актуальные мгновенные значения,192
2349,Нет питания УСПД,131
2350,Отсутствуют актуальные мгновенные значения,14
2350,Отсутствие освещения в местах общего пользования,11
2351,Аварийная протечка с кровли,23
2351,Расхождение времени ПУ,23
2352,Температура в квартире ниже нормативной,51
2352,Аварийная протечка с кровли,12
2353,Температура в квартире ниже нормативной,28
2353,Отсутствие освещения в местах общего пользования,21
2354,Отсутствие освещения в местах общего пользования,23
2354,Отсутствуют актуальные суточные значения,10
2355,Отсутствуют актуальные мгновенные значения,21
2355,Отсутствуют актуальные суточные значения,16
2356,Отсутствие освещения в местах общего пользования,13
2356,Низкий уровень сигнала GSM,12
2357,Отсутствуют актуальные мгновенные значения,11
2357,Температура в квартире ниже нормативной,9
2358,Низкий уровень сигнала GSM,56
2358,Повреждение элементов входной двери,11
2359,Температура в квартире ниже нормативной,11
2359,Аварийная протечка с кровли,10
2360,Отсутствуют актуальные мгновенные значения,38
2360,Температура в квартире ниже нормативной,30
2361,Низкий уровень сигнала GSM,21
2361,Отсутствуют актуальные мгновенные значения,16
2362,Низкий уровень сигнала GSM,9
2362,Повреждение элементов входной двери,6
2363,Нет связи с ПУ,272
2363,Отсутствуют актуальные суточные значения,49
2364,Недогрев ГВС,23
2364,Отсутствие ГВС в доме,20
2365,Недогрев ГВС,46
2365,Отсутствие ГВС в доме,22
2366,Отсутствуют актуальные мгновенные значения,35
2366,Отсутствуют актуальные суточные значения,29
2367,Отсутствуют актуальные мгновенные значения,22
2367,Недогрев ГВС,21
2368,Отсутствуют актуальные мгновенные значения,232
2368,Нет связи с УСПД,64
2369,Низкий уровень сигнала GSM,29
2369,Отсутствуют актуальные мгновенные значения,19
2370,Отсутствуют актуальные суточные значения,23
2370,Отсутствуют актуальные мгновенные значения,14
2371,Температура в квартире ниже нормативной,29
2371,Отсутствуют актуальные суточные значения,10
2372,Отсутствуют актуальные мгновенные значения,5
2372,Отсутствуют актуальные суточные значения,4
2373,Отсутствие освещения в местах общего пользования,9
2373,Загрязнение/замусоренность подъезда,6
2374,Датчик вибрации,43
2374,Открыт шкаф УСПД,9
2375,Отсутствуют актуальные мгновенные значения,16
2375,Расхождение времени ПУ,13
2376,Недогрев ГВС,57
2376,Низкий уровень сигнала GSM,39
2377,Температура в квартире ниже нормативной,14
2377,Загрязнение/замусоренность подъезда,13
2378,Низкий уровень сигнала GSM,20
2378,Загрязнение/замусоренность подъезда,14
2379,Температура в квартире ниже нормативной,26
2379,Отсутствуют актуальные суточные значения,9
2380,Открыт шкаф УСПД,26
2380,Отсутствуют актуальные мгновенные значения,15
2381,Отсутствуют актуальные суточные значения,25
2381,Недогрев ГВС,18
2489,Нет связи с ПУ,375
2489,Отсутствуют актуальные суточные значения,38
2490,Низкий уровень сигнала GSM,24
2490,Отсутствуют актуальные мгновенные значения,8
2491,Повреждение системы электропроводки/щитового оборудования,4
2491,Загрязнение/замусоренность подъезда,3
2492,Повреждение системы электропроводки/щитового оборудования,3
2492,Наличие крыс/мышей/насекомых в местах общего пользования,2
2493,Нет связи с ПУ,384
2493,Отсутствуют актуальные мгновенные значения,12
2494,Изменение конфигурации УСПД,6
2494,Отсутствуют актуальные мгновенные значения,6
2495,Температура ГВС ниже нормы,30
2495,Температура в квартире ниже нормативной,28
2496,Температура ГВС ниже нормы,53
2496,Загрязнение воды,18
2497,Нет связи с ПУ,356
2497,Температура в квартире ниже нормативной,16
2498,Температура в квартире ниже нормативной,20
2498,Низкий уровень сигнала GSM,10
2499,Температура в квартире ниже нормативной,3
2499,Неочищенная кровля,2
2500,Температура в квартире ниже нормативной,75
2500,Низкий уровень сигнала GSM,38
2501,Отсутствуют актуальные мгновенные значения,9
2501,Температура ГВС ниже нормы,7
2502,Отсутствуют актуальные суточные значения,35
2502,Отсутствует циркуляция ГВС,26
2758,Температура в квартире ниже нормативной,22
2758,Отсутствуют актуальные суточные значения,15
2759,Низкий уровень сигнала GSM,24
2759,Отсутствие освещения в местах общего пользования,21
2760,Отсутствие ГВС в доме,63
2760,Недогрев ГВС,62
2761,Отсутствуют актуальные мгновенные значения,24
2761,Температура в квартире ниже нормативной,18
2762,Температура в квартире ниже нормативной,30
2762,Низкий уровень сигнала GSM,17
2763,Отсутствуют актуальные мгновенные значения,15
2763,Неочищенная кровля,14
2764,Температура в квартире ниже нормативной,167
2764,Отсутствие освещения в местах общего пользования,61
2765,Температура в квартире ниже нормативной,22
2765,Отсутствие освещения в местах общего пользования,20
2766,Температура в квартире ниже нормативной,95
2766,T1 < min,75
2767,Температура в квартире ниже нормативной,36
2767,Недогрев ГВС,35
2768,Нет питания УСПД,1124
2768,Температура в квартире ниже нормативной,116
2769,Температура в квартире ниже нормативной,25
2769,Температура ГВС ниже нормы,18
2770,Аварийная протечка с кровли,39
2770,Температура в квартире ниже нормативной,25
2771,Лифт требует ремонта,27
2771,Отсутствуют актуальные мгновенные значения,10
2772,Неисправность запирающего устройства,23
2772,Повреждение элементов входной двери,20
2773,Температура в квартире ниже нормативной,70
2773,Лифт требует ремонта,30
2774,Низкий уровень сигнала GSM,35
2774,Отсутствует циркуляция ГВС,32
2775,Температура в квартире ниже нормативной,41
2775,Отсутствует циркуляция ГВС,21
2776,Отсутствие ГВС в доме,30
2776,Низкий уровень сигнала GSM,25
2777,Лифт требует ремонта,31
2777,Отсутствие освещения в местах общего пользования,21
2778,Лифт требует ремонта,25
2778,Низкий уровень сигнала GSM,23
2779,Температура в квартире ниже нормативной,64
2779,Загрязнение/замусоренность подъезда,9
2780,Нет связи с ПУ,363
2780,Аварийная протечка с кровли,49
2781,Отсутствуют актуальные мгновенные значения,16
2781,Температура ГВС ниже нормы,16
2782,Температура в квартире ниже нормативной,32
2782,Отсутствуют актуальные мгновенные значения,19
2783,Температура в квартире ниже нормативной,51
2783,Лифт требует ремонта,39
2784,Температура в квартире ниже нормативной,41
2784,Отсутствуют актуальные суточные значения,19
2785,Температура в квартире ниже нормативной,25
2785,Отсутствуют актуальные мгновенные значения,24
2899,Низкий уровень сигнала GSM,21
2899,Повреждение элементов входной двери,19
2900,Отсутствует циркуляция ГВС,23
2900,Отсутствуют актуальные мгновенные значения,10
2901,Температура в квартире ниже нормативной,84
2901,Температура ГВС ниже нормы,10
2902,Неочищенная кровля,10
2902,Неисправность запирающего устройства,9
2903,Засор мусоропровода,21
2903,Лифт требует ремонта,19
2904,Отсутствуют актуальные мгновенные значения,18
2904,Отсутствие ГВС в доме,13
2905,Недогрев ГВС,5
2905,Отсутствие освещения в местах общего пользования,5
2906,Температура ГВС ниже нормы,96
2906,Низкий уровень сигнала GSM,30
2907,Температура в квартире ниже нормативной,48
2907,Низкий уровень сигнала GSM,27
2908,Повреждение системы электропроводки/щитового оборудования,49
2908,Температура ГВС ниже нормы,35
2909,Отсутствуют актуальные мгновенные значения,32
2909,Загрязнение/замусоренность подъезда,28
2910,Нет питания УСПД,235
2910,Низкий уровень сигнала GSM,32
2911,Лифт требует ремонта,19
2911,Загрязнение/замусоренность подъезда,15
2912,Температура в квартире ниже нормативной,32
2912,Отсутствуют актуальные суточные значения,25
2913,Отсутствуют актуальные мгновенные значения,16
2913,Загрязнение/замусоренность подъезда,11
2914,Температура в квартире ниже нормативной,27
2914,Неочищенная кровля,14
2915,Отсутствуют актуальные мгновенные значения,120
2915,Аварийная протечка с кровли,18
2916,Отсутствуют актуальные мгновенные значения,698
2916,Температура ГВС ниже нормы,283
2917,Низкий уровень сигнала GSM,34
2917,Температура в квартире ниже нормативной,18
2918,Загрязнение/замусоренность подъезда,64
2918,Температура ГВС ниже нормы,37
2919,Отсутствуют актуальные мгновенные значения,60
2919,Нет связи с УСПД,23
2920,Лифт требует ремонта,17
2920,Отсутствуют актуальные мгновенные значения,13
2921,Отсутствуют актуальные мгновенные значения,228
2921,Лифт требует ремонта,21
2922,Нет связи с ПУ,98
2922,Засор канализации,21
2923,Низкий уровень сигнала GSM,25
2923,Засор канализации,22
2924,Низкий уровень сигнала GSM,46
2924,Температура ГВС ниже нормы,15
2925,Температура в квартире ниже нормативной,49
2925,Низкий уровень сигнала GSM,19
2926,Протечка с кровли,31
2926,Аварийная протечка с кровли,29
2927,Загрязнение/замусоренность подъезда,36
2927,Отсутствует циркуляция ГВС,22
2928,Засор канализации,31
2928,Загрязнение/замусоренность подъезда,30
2929,Лифт требует ремонта,52
2929,Температура в квартире ниже нормативной,42
2930,Отсутствие освещения в местах общего пользования,90
2930,Температура в квартире ниже нормативной,79
2931,Отсутствуют актуальные мгновенные значения,20
2931,Нет связи с ПУ,17
2932,Низкий уровень сигнала GSM,20
2932,Расхождение времени ПУ,17
2933,Лифт требует ремонта,23
2933,Температура в квартире ниже нормативной,20
2934,Отсутствуют актуальные мгновенные значения,39
2934,Лифт требует ремонта,33
2935,Температура ГВС ниже нормы,44
2935,Загрязнение/замусоренность подъезда,17
2936,Загрязнение/замусоренность подъезда,23
2936,Температура в квартире ниже нормативной,23
2937,Отсутствует циркуляция ГВС,36
2937,Температура ГВС ниже нормы,20
2938,Засор канализации,6
2938,Неочищенная кровля,6
2939,Нет связи с ПУ,249
2939,Лифт требует ремонта,78
2940,Отсутствуют актуальные мгновенные значения,18
2940,Отсутствие освещения в местах общего пользования,16
2941,Отсутствуют актуальные суточные значения,94
2941,Отсутствуют актуальные мгновенные значения,27
2942,Повреждение элементов входной двери,31
2942,Температура в квартире ниже нормативной,18
2943,Отсутствуют актуальные мгновенные значения,33
2943,Недогрев ГВС,24
2990,Температура ГВС ниже нормы,85
2990,Низкий уровень сигнала GSM,30
2991,Температура ГВС ниже нормы,53
2991,Отсутствуют актуальные мгновенные значения,24
2992,Засор канализации,30
2992,Загрязнение/замусоренность подъезда,23
2993,Загрязнение/замусоренность подъезда,30
2993,Аварийная протечка с кровли,20
2994,Низкий уровень сигнала GSM,23
2994,Температура в квартире ниже нормативной,18
2995,Температура в квартире ниже нормативной,71
2995,Лифт требует ремонта,43
2997,Загрязнение/замусоренность подъезда,47
2997,Температура в квартире ниже нормативной,35
2998,Лифт требует ремонта,74
2998,Загрязнение/замусоренность подъезда,20
2999,Отсутствуют актуальные мгновенные значения,20
2999,Изменение конфигурации УСПД,10
3000,Нет связи с ПУ,367
3000,Повреждение инженерных сетей,28
3001,Нет связи с ПУ,295
3001,Загрязнение/замусоренность подъезда,22
3002,Температура ГВС ниже нормы,46
